413;1;Нэшвилль / Nashville;1976;;39;253
414;1;Таксист / Taxi Driver;1976;;39;200
415;1;Вся президентская рать / All the President’s Men;1976;;39;7
416;1;Человек из мрамора / Czlowiek z marmuru;1976;;33;21
417;1;Восхождение;1976;;38;171
418;1;Империя чувств / Ai no korida;1976;;56;215
419;1;Иона, которому будет 25 лет в 2000 году / Jonas qui aura 25 ans en l’an 2000;1976;;52;13
420;2;История шара / Histoire d’un ballon: Le Lycee No.31 a Pekin;1976;;30;139
421;2;Округ Харлан США / Harlan County U.S.A.;1976;;39;32
422;13;Голова-ластик / Eraserhead;1976;;39;117
423;1;Забойщик овец / Killer of Sheep;1977;;39;332
424;1;Суспирия / Suspiria;1977;;57;72
425;2;Битва за Чили / La batalla de Chile;1977;;51;228
426;2;Гитлер — фильм из Германии / Hitler — ein Film aus Deutschland;1977;;12;57
427;9;Энни Холл / Annie Hall;1977;;;56
428;12;Звездные войны / Star Wars Episode IV: A New Hope;1977;;;102
429;13;Ангельский город / Angel City;1977;;;95
430;1;Гипотеза украденной картины / L’hypothese du tableau vole;1978;;44;239
431;1;Замужество Марии Браун / Die Ehe der Maria Braun;1978;;49;238
432;2;Германия осенью / Deutschland im Herbst;1978;;12;238
433;2;Дочь Рита / Daughter Rite;1978;;39;212
434;8;Кэрри / Carrie;1978;;;39
435;1;Патриотка / Die Patriotin;1979;;49;10
436;1;Мне отмщение и аз воздам / Fukushu suru wa ware ni ari;1979;;56;269
437;1;Апокалипсис сегодня / Apocalypse Now;1979;;39;315
438;1;Бешеный бык / Raging Bull;1980;;39;200
439;2;Говорящие головы / Gadajace glowy;1980;;33;167
440;2;Жизнь и времена клепальщицы Рози / The Life and Times of Rosie the Riveter;1980;;39;162
441;2;Свадебные верблюды / Wedding Camels;1980;;39;114
442;8;Сияние / The Shining;1980;;;276
443;1;Свинцовые времена / Die bleierne Zeit;1981;;49;191
444;1;Тишина вокруг Кристине М / De stilte rond Christine M;1981;;30;196
445;2;Биографии / Lebenslaufe;1981;;11;51
446;5;Красные / Reds;1981;;;297
447;1;Контракт рисовальщика / The Draftsman’s Contract;1982;;9;232
448;1;Люди в лодке / Tau ban no hoi;1982;;13;350
449;1;Ветер / Finye;1982;;28;277
450;1;Дорога / Yol;1982;;42;144
451;1;Видеодром / Videodrome;1982;;24;115
452;1;Иллюзии / Illusions;1982;;39;105
453;2;Мужчина когда он мужчина / El hombre cuando es hombre;1982;;51;41
454;2;Кояанискатси / Koyaanisqatsi;1982;;39;66
455;2;Атомное кафе / The Atomic Cafe;1982;;39;80
456;12;Бегущий по лезвию / Blade Runner;1982;;;243
457;1;Легенда о Нараяме / Narayama-bushi ko;1983;;56;269
458;1;Фанни и Александр / Fanny och Alexander;1983;;53;138
459;1;Кармен / Carmen;1983;;20;148
460;1;Ностальгия;1983;;22;22
461;2;Без солнца / Sans Soleil;1983;;44;163
462;13;Variety;1983;;;36
463;1;Желтая земля / Huang tudi;1984;;25;337
464;1;Париж Техас / Paris Texas;1984;;39;49
465;1;Камила / Camila;1984;;2;193
466;1;Дом и мир / Ghare-Baire;1984;;18;263
467;2;Времена Харви Милка / The Times of Harvey Milk;1984;;39;248
468;2;Вдали от Польши / Far from Poland;1984;;39;82
469;6;Однажды в Америке / Once upon a Time in America;1984;;;267
470;13;Более странно чем в раю / Stranger than Paradise;1984;;;84
471;1;Ран / Ran;1985;;56;5
472;2;Марш Шермана / Sherman’s March;1985;;39;260
473;2;Шоа / Shoah;1985;;44;158
474;2;Токио-Га / Tokyo-ga;1985;;12;49
475;1;Синий бархат / Blue Velvet;1986;;39;117
476;1;Караваджо / Caravaggio;1986;;9;73
477;2;Песни Хендсворта / Handsworth Songs;1986;;9;91
478;2;Лес блаженства / Forest of Bliss;1986;;39;251
